purchase_order_id	title	amount
IF00395410	VIH 6215BR	10.00000000
IF00396795	HRW 200370	6.00000000
IF00327579	QHV 30-705-002	5.00000000
IF00327579	G 273020	5.00000000
IF00334180	QJV EP 6009	2.00000000
IF00336025	QHV 30-921-015	2.00000000
IF00336025	QHV 30-520-006	2.00000000
IF00336025	QHV 30-315-037	2.00000000
IF00336025	QHV 30-325-009	4.00000000
IF00336580	QHV 30-116-004	40.00000000
IF00336580	UPG 12172 T	2.00000000
IF00336580	IJG 502-2101	1.00000000
IF00336580	IJG 502-1411	6.00000000
IF00336580	IJG 502-2101	4.00000000
IF00336580	QHV 30-200-024	2.00000000
IF00343157	HZU KZS 35036	3.00000000
IF00343157	VAH W40548-00	2.00000000
IF00343157	QHV 30-135-008	6.00000000
IF00344263	QHV 30-310-055	4.00000000
IF00344263	QHV 30-920-041	2.00000000
IF00344263	QHV 30-116-006	10.00000000
IF00344263	QHV 30-310-105	10.00000000
IF00344263	QHV 30-310-100	4.00000000
IF00344263	QHV 30-700-370	12.00000000
IF00344425	QRW 1987948914	3.00000000
IF00344425	XCP 530 0140 10	1.00000000
IF00344425	QHV 30-700-359	2.00000000
IF00344425	UPV 576259	2.00000000
IF00346428	SED 431-1969G-JT	2.00000000
IF00349963	QHV 30-555-005	12.00000000
IF00349963	HZI 047599	5.00000000
IF00354393	QHV 30-705-021	5.00000000
IF00355516	QHV 30-135-023	5.00000000
IF00355516	QHV 30-965-014	3.00000000
IF00355516	TAG 026.740	2.00000000
IF00355516	0209.RV	3.00000000
IF00355516	TAG 027.102	2.00000000
IF00359676	TAG 255.050	3.00000000
IF00359676	QHV 30-135-006	10.00000000
IF00362801	QHV 30-700-206	2.00000000
IF00362801	TAG 255.040	2.00000000
IF00362801	QHV 30-116-001	4.00000000
IF00362801	QHV 30-116-002	5.00000000
IF00362801	VH 6658-6659	1.00000000
IF00366278	HZI 410441-UZ	9.00000000
IF00366278	HZI 410441-UZ	1.00000000
IF00367547	XCP 712 0764 10	5.00000000
IF00370518	ZEI 3045042	1.00000000
IF00370518	ZEI 3015057	1.00000000
IF00370518	QHV 30-810-003	2.00000000
IF00375649	QHV 30-810-024	3.00000000
IF00381254	VH 1533/2-1534/2	1.00000000
IF00381254	VH 1533-1534	1.00000000
IF00381254	QHV 30-934-002	3.00000000
IF00382002	VAH W15555-10	1.00000000
IF00384240	QHV 30-922-124	1.00000000
IF00384240	QHV 30-922-124	1.00000000
IF00384240	HZI 4H-031-K	48.00000000
IF00384240	PG 882	3.00000000
IF00384240	QHV 30-705-043	20.00000000
IF00385102	QHV 30-300-018	2.00000000
IF00385102	QHV 30-900-030	3.00000000
IF00385102	ZEI 3045028	3.00000000
IF00388867	UB 71-4151/4 HIS	1.00000000
IF00388867	BE 600200 400	1.00000000
IF00390340	QHV 30-310-087	6.00000000
IF00394745	QRW 0450906407	5.00000000
IF00394745	TAG 468.860	3.00000000
IF00398264	QHV 30-900-042	3.00000000
IF00398264	QHV 30-810-037	2.00000000
IF00401628	QHV 30-700-109	10.00000000
IF00402219	QHV 30-555-003	60.00000000
IF00404931	QHV 30-605-015	1.00000000
IF00407468	HXA HH 53 IE	10.00000000
IF00410381	QHV 30-315-014	2.00000000
IF00410381	QHV 30-315-013	2.00000000
IF00415045	1018.66	3.00000000
IF00415045	QHV 30-855-007	3.00000000
IF00418818	HZI 045901-K	20.00000000
IF00418818	QJV EP 6004	5.00000000
IF00426145	HRW 6366 000 001	1.00000000
IF00426145	ZEI 3020000	2.00000000
IF00325257	U 4B5Y 12405 PP	100.00000000
IF00325257	QHV 30-135-020	5.00000000
IF00327018	QHV 30-805-019	1.00000000
IF00327018	QHV 30-805-019	4.00000000
IF00328629	QHV 30-975-010	1.00000000
IF00328629	HIS 750	1.00000000
IF00328629	QHV 30-975-012	3.00000000
IF00329951	KAB 700444	1.00000000
IF00329969	SYP US11046P3A	1.00000000
IF00329969	QHV 30-116-004	20.00000000
IF00329969	SYP US11046P3G	1.00000000
IF00329969	SYP US11046P3G	1.00000000
IF00336722	BE 602190 100	2.00000000
IF00341816	PG 1011	13.00000000
IF00344402	QHV 30-205-008	3.00000000
IF00344402	QHV 30-220-005	2.00000000
IF00346321	QHV 30-720-080	2.00000000
IF00346321	QHV 30-720-142	1.00000000
I100003256	AJZ 600 0016 00	1.00000000
I100003931	QHV 60-916-003	10.00000000
IF00327000	QHV 30-805-020	2.00000000
IF00327000	QHV 30-805-019	2.00000000
IF00327000	QHV 30-805-019	3.00000000
IF00327573	HRW 315469	1.00000000
IF00329927	WII 3301064	3.00000000
IF00329952	UB 08-141307.00	4.00000000
IF00336021	QHV 30-720-116	2.00000000
IF00336502	EGV 7.03738.03.0	4.00000000
